00001001Ana Perez                                         F1503201000550000.50
00001002Juan Gomez                                        M2207201500480000.75
00001003Luisa Fernandez                                   F1011201200620000.00
00001004Carlos Sanchez                                    M0505201800450000.25
00001005Marta Diaz                                        F3001202000700000.81
00001006Pedro Ramirez                                     M1209201100530000.63
00001007Sofia Torres                                      F1804201600580000.88
00001008Diego Flores                                      M2512201300407000.41
00001009Laura Morales                                     F0808201400610000.69
00001010Javier Ruiz                                       M0302201900490000.56
00001011Elena Castro                                      F1406200900720000.88
00001012Andres Ortiz                                      M2910201700460000.34
00001013Cecilia Vega                                      F0703201200640000.94
00001014Fernando Silva                                    M2111201500510000.16
00001015Gabriela Rojas                                    F0401201800680000.44
